<div>absence</div>	<div>缺席</div> <div>The decision was made in my absence</div>
<div>convince</div>	<div>說服</div> <div>to make somebody/yourself believe that something is true convince somebody/yourself (of something) You'll need to convince them of your enthusiasm for the job. convince somebody/yourself (that)&hellip; I&rsquo;d convinced myself (that) I was right. The experience convinced him that Europe was on the brink of a revolution.  convince somebody to do something to persuade somebody to do something I've been trying to convince him to see a doctor.</div>
<div>competition</div>	<div>競爭</div> <div>competition (between/with somebody) (for something) a situation in which people or organizations compete with each other for something that not everyone can have There is now intense competition between schools to attract students. We are in competition with four other companies for the contract. We won the contract in the face of stiff competition.</div>
<div>conclusion</div>	<div>結論</div> <div>something that you decide when you have thought about all the information connected with the situation I've come to the conclusion that he's not the right person for the job. It took the jury some time to reach the conclusion that she was guilty. New evidence might lead to the conclusion that we are wrong. We can safely draw some conclusions from our discussion.</div>
<div>sin</div>	<div>罪</div>
<div>wander</div>	<div>漫步</div> <div>to walk slowly around or to a place, often without any particular sense of purpose or direction + adv./prep. She wandered aimlessly around the streets. We wandered back towards the car. wander something The child was found wandering the streets alone.</div>
<div>plenty</div>	<div>豐富</div> <div>plenty (of something) a large amount; as much or as many as you need plenty of eggs/money/time &lsquo;Do we need more milk?&rsquo; &lsquo;No, there's plenty in the fridge.&rsquo; They always gave us plenty to eat. We had plenty to talk about.</div>
<div>devoted</div>	<div>忠誠</div> <div>devoted (to somebody/something) having great love for somebody/something and being loyal to them They are devoted to their children. a devoted son/friend/fan They were totally devoted to each other.</div>
<div>anniversary</div>	<div>紀念日</div> <div>a date that is an exact number of years after the date of an important or special event on the anniversary of his wife&rsquo;s death to celebrate your wedding anniversary the theatre&rsquo;s 25th anniversary celebrations</div>
<div>flood</div>	<div>洪水</div> <div>a large amount of water covering an area that is usually dry The heavy rain has caused floods in many parts of the country. flood damage Police have issued flood warnings for Nevada. an appeal to help flood victims the Thames flood barrier The river is in flood (= has more water in it than normal and has caused a flood).</div>
<div>interminable</div>	<div>沒完沒了的 ADJ</div> <div>lasting a very long time and therefore boring or annoying synonym endless an interminable speech/wait/discussion The drive seemed interminable.</div>
<div>spare</div>	<div>備用的 ADJ</div> <div>that is not being used or is not needed at the present time We've got a spare bedroom, if you'd like to stay. I'm afraid I haven't got any spare cash. Are there any tickets going spare (= are there any available, not being used by somebody else)?</div>
<div>disinfect</div>	<div>消毒V</div> <div>disinfect something to clean something using a substance that kills bacteria to disinfect a surface/room/wound  disinfect something to run a computer program to get rid of a computer virus</div>
<div>bacteria</div>	<div>菌 N</div> <div>the simplest and smallest forms of life. Bacteria exist in large numbers in air, water and soil, and also in living and dead creatures and plants, and are often a cause of disease. Neither chilling nor freezing kills all bacteria.</div>
<div>impersonation</div>	<div>模彷N</div> <div>an act of pretending to be somebody in order to trick people or to entertain them synonym impression He did an extremely convincing impersonation of the singer.</div>
<div>court</div>	<div>庭 堂 N</div> <div>the place where legal trials take place and where crimes, etc. are judged the civil/criminal courts Her lawyer made a statement outside the court. She will appear in court tomorrow. They took their landlord to court for breaking the contract. The case took five years to come to court (= to be heard by the court).</div>
<div>laudable</div>	<div>值得稱讚 ADJ</div> <div>deserving to be praised or admired, even if not really successful synonym commendable a laudable aim/attempt It was a laudable attempt to end the stalemate in the talks. Laudable though these aims are, they are not likely to succeed.</div>
<div>despite</div>	<div>儘管 preposition</div> <div>used to show that something happened or is true although something else might have happened to prevent it synonym in spite of something Her voice was shaking despite all her efforts to control it. Despite applying for hundreds of jobs, he is still out of work. She was good at physics despite the fact that she found it boring.</div>
<div>confront</div>	<div>面對 對抗V</div> <div>confront somebody/something (of problems or a difficult situation) to appear and need to be dealt with by somebody the economic problems confronting the country The government found itself confronted by massive opposition.</div>
<div>trauma</div>	<div>創傷N</div> <div>a mental condition caused by severe shock, especially when the harmful effects last for a long time the effects of trauma and stress on the body The children showed no signs of trauma after their ordeal.</div>
<div>patient</div>	<div>患者 病人 N</div> <div>a person who is receiving medical treatment, especially in a hospital cancer patients</div>
<div>morally</div>	<div>道德 ADV</div> <div>according to principles of good behaviour and what is considered to be right or wrong to act morally morally right/wrong/justified/unacceptable He felt morally responsible for the accident.</div>
<div>obligated</div>	<div>責任 V</div> <div>having a moral or legal duty to do something synonym obliged He felt obligated to help.</div>
<div>attempt</div>	<div>嘗試 企圖N V</div> <div>an act of trying to do something, especially something difficult, often with no success I passed my driving test at the first attempt. attempt to do something Two factories were closed in an attempt to cut costs. They made no attempt to escape. attempt at something/at doing something The couple made an unsuccessful attempt at a compromise.</div>
<div>measure</div>	<div>測量 評估 V</div> <div>to find the size, quantity, etc. of something in standard units measure something (in something) A ship's speed is measured in knots. a device that measures the level of radiation in the atmosphere measuring equipment/instruments measure somebody/something for something He's gone to be measured for a new suit. measure how much, how long, etc&hellip; A dipstick is used to measure how much oil is left in an engine.</div>
<div>abandoned</div>	<div>棄 廢ADJ</div> <div>left and no longer wanted, used or needed an abandoned car/house The child was found abandoned but unharmed. There was an abandoned supermarket trolley in the middle of the road.</div>
<div>authority</div>	<div>權威 N</div> <div>the power to give orders to people in a position of authority She now has authority over the people who used to be her bosses. Nothing will be done because no one in authority (= who has a position of power) takes the matter seriously.</div>
<div>virus</div>	<div>病毒 N</div> <div>a living thing, too small to be seen without a microscope, that causes infectious disease in people, animals and plants the flu virus a virus infection</div>
<div>facility</div>	<div>設施 N</div> <div>facilities [plural] buildings, services, equipment, etc. that are provided for a particular purpose sports/leisure facilities conference facilities shopping/banking/cooking facilities The hotel has special facilities for welcoming disabled people. All rooms have private facilities (= a private bathroom).</div>
<div>govern</div>	<div>治理 V</div> <div>govern (something) to legally control a country or its people and be responsible for introducing new laws, organizing public services, etc. The country is governed by elected representatives of the people. He accused the opposition party of being unfit to govern.</div>
<div>parameter</div>	<div>參數N</div> <div>something that decides or limits the way in which something can be done to set/define the parameters We had to work within the parameters that had already been established.</div>
<div>cooperation</div>	<div>合作 N</div> <div>the fact of doing something together or of working together towards a shared aim cooperation (with somebody) (in doing something) a report produced by the government in cooperation with the chemical industry cooperation (between A and B) We would like to see closer cooperation between parents and schools.</div>
<div>procedural</div>	<div>程序 手術 ADJ</div> <div>involving or following a formal procedure procedural rules</div>
<div>technically</div>	<div>技術上 ADV</div> <div>according to the exact meaning, facts etc. Technically (speaking), the two countries are still at war. It is still technically possible for them to win (= but it seems unlikely). in a way that is connected with the skills needed for a particular job, sport, art, etc. As a musician, she is technically accomplished. Technically, he is an excellent goalkeeper.</div> <div> </div>
<div>remains</div>	<div>遺蹟 N</div> <div>remains (of something) the parts of something that are left after the other parts have been used, eaten, removed, etc. She fed the remains of her lunch to the dog.</div>
<div>extract</div>	<div>提取 V</div> <div>extract (from something) a short passage from a book, piece of music, etc. that gives you an idea of what the whole thing is like The following extract is taken from her new novel.</div>
<div>chest</div>	<div>胸 N</div> <div>the top part of the front of the body, between the neck and the stomach The bullet hit him in the chest. She gasped for breath, her chest heaving. a chest infection chest pains a hairy chest</div>
<div>harmony</div>	<div>和諧 ADJ</div> <div>] a state of peaceful existence and agreement the need to be in harmony with our environment to live together in perfect harmony social/racial harmony</div>
<div>incomprehensible</div>	<div>複雜的 ADJ</div> <div>impossible to understand synonym unintelligible Some application forms can be incomprehensible to ordinary people. He found his son's actions totally incomprehensible.</div>
<div>narrow</div>	<div>窄 ADJ</div> <div>measuring a short distance from one side to the other, especially in relation to length narrow streets a narrow bed/doorway/shelf narrow shoulders/hips There was only a narrow gap between the bed and the wall.</div>
<div>consist</div>	<div>組成</div>
<div>burglars</div>	<div>竊賊</div> <div>a person who enters a building illegally in order to steal Burglars broke into the gallery and stole dozens of priceless paintings.</div>
<div>abstract</div>	<div>抽象</div> <div>based on general ideas and not on any particular real person, thing or situation abstract knowledge/principles The research shows that pre-school children are capable of thinking in abstract terms.</div>
<div>immediate</div>	<div>即時</div> <div>happening or done without delay synonym instant an immediate reaction/response to take immediate action RAM stores information for immediate access.</div>
<div>crisis</div>	<div>危機</div> <div>a time of great danger, difficulty or confusion when problems must be solved or important decisions must be made a political/financial crisis the government&rsquo;s latest economic crisis The business is still in crisis but it has survived the worst of the recession. The Labour Party was facing an identity crisis. an expert in crisis management</div>
<div>obvious</div>	<div>明顯</div> <div>obvious (to somebody) (that&hellip;) easy to see or understand synonym clear It was obvious to everyone that the child had been badly treated. It's obvious from what she said that something is wrong. I know you don't like her but try not to make it so obvious. He agreed with obvious pleasure.</div>
<div>surface</div>	<div>表面</div> <div>the outside or top layer of something an uneven road surface We'll need a flat surface to play the game on. Teeth have a hard surface layer called enamel. a broad leaf with a large surface area</div>
<div>tearful</div>	<div>淚流滿面</div> <div>(of a person) crying, or about to cry She suddenly became very tearful. He answered in a tearful voice.</div>
<div>instead</div>	<div>代替</div> <div>in the place of somebody/something Lee was ill so I went instead. He didn't reply. Instead, he turned on his heel and left the room. She said nothing, preferring instead to save her comments till later.</div>
<div>equivalent</div>	<div>當量</div> <div>equal in value, amount, meaning, importance, etc. 250 grams or an equivalent amount in ounces the price we would pay elsewhere for a broadly equivalent house equivalent to something Eight kilometres is roughly equivalent to five miles. The new regulation was seen as equivalent to censorship.</div>
<div>magnetic</div>	<div>磁性</div>
<div>persistence</div>	<div>堅持 v</div> <div>the fact of continuing to try to do something despite difficulties, especially when other people are against you and think that you are being annoying or unreasonable His persistence was finally rewarded when the insurance company agreed to pay for the damage. It was her sheer persistence that wore them down in the end.</div>
<div>fractions</div>	<div>分數 a small part or amount of something Only a small fraction of a bank's total deposits will be withdrawn at any one time. She hesitated for the merest fraction of a second. He raised his voice a fraction.</div>
<div>factors</div>	<div>因素 one of several things that cause or influence something economic factors The closure of the mine was the single most important factor in the town's decline. the key/crucial/deciding factor The result will depend on a number of different factors</div>
<div>impact</div>	<div>碰撞</div> <div>impact (of something) (on somebody/something) the powerful effect that something has on somebody/something the environmental impact of tourism The report assesses the impact of AIDS on the gay community. Her speech made a profound impact on everyone. Businesses are beginning to feel the full impact of the recession.</div>
<div>thermal</div>	<div>熱  connected with heat thermal energy (of clothing) designed to keep you warm by preventing heat from escaping from the body thermal underwear</div>
<div>Fidelity</div>	<div>忠</div> <div>fidelity (to something) (formal) the quality of being loyal to somebody/something fidelity to your principles</div>
<div>encryption</div>	<div>加密</div> <div> </div>
<div>Equivalent</div>	<div>相等</div> <div>equal in value, amount, meaning, importance, etc. 250 grams or an equivalent amount in ounces the price we would pay elsewhere for a broadly equivalent house equivalent to something Eight kilometres is roughly equivalent to five miles. The new regulation was seen as equivalent to censorship.</div>
<div>Dedicated</div>	<div>專用 </div> <div>working hard at something because it is very important to you synonym committed a dedicated teacher dedicated to something She is dedicated to her job.</div>
<div>distributed</div>	<div>分散</div> <div>to give things to a large number of people; to share something between a number of people distribute something The newspaper is distributed free. distribute something to somebody/something The organization distributed food to the earthquake victims. distribute something among somebody/something The money was distributed among schools in the area.</div>
<div>Archive</div>	<div>檔案</div> <div>(also archives [plural]) a collection of historical documents or records of a government, a family, a place or an organization; the place where these records are stored the National Sound Archive archive film The BBC's archives are bulging with material.</div>
<div>Compression</div>	<div>壓縮</div>
<div>extended family</div>	<div>大家庭</div>
<div>immediate family</div>	<div>直系親屬</div>
<div>protein</div>	<div>蛋白質</div>
<div>micronutrient</div>	<div>微量營養素</div>
<div>coating</div>	<div>厚厚一層</div>
<div>crispy</div>	<div>酥脆的</div>
<div>breast</div>	<div>胸</div>
<div>efficient</div>	<div>高效率的</div>
<div>spiritual</div>	<div>精神（上）的</div>
<div>spirit</div>	<div>精神</div>
<div>toggle</div>	<div>切換</div>
